episode,seed,scenario_id,mean_global_reward,steps,actor_loss,critic_loss,entropy
0,7,toronto_demand_time_loss,-1.498898821970833,58,-0.07262279838323593,708.9998779296875,1.4322737455368042
1,8,toronto_demand_time_loss,-1.4735041286780435,58,0.0010332511737942696,699.3862915039062,1.414229393005371
2,9,toronto_demand_time_loss,-1.408754158417589,58,-0.15360566973686218,490.65362548828125,1.3895398378372192
3,10,toronto_demand_time_loss,-1.2305808499386302,58,0.05079107731580734,409.57843017578125,1.4246852397918701
4,11,toronto_demand_time_loss,-1.4517564617279515,58,-0.024760650470852852,575.0235595703125,1.4171706438064575
5,12,toronto_demand_time_loss,-1.3342663824263596,58,-0.09791547060012817,347.83465576171875,1.4138469696044922
6,13,toronto_demand_time_loss,-1.4980619259800405,58,-0.050182364881038666,481.0231018066406,1.4082589149475098
7,14,toronto_demand_time_loss,-1.4958018985467616,58,-0.031339216977357864,434.3229675292969,1.434380054473877
8,15,toronto_demand_time_loss,-1.617209337697574,58,-0.08309070020914078,633.4525146484375,1.41860830783844
9,16,toronto_demand_time_loss,-1.218063233275049,58,0.02126200869679451,386.9432678222656,1.402425765991211
10,17,toronto_demand_time_loss,-1.1898038106752882,58,0.024702563881874084,318.7519836425781,1.4242608547210693
11,18,toronto_demand_time_loss,-1.4854303108003526,58,0.008642206899821758,510.65325927734375,1.41188645362854
12,19,toronto_demand_time_loss,-1.3906426846672177,58,-0.07010771334171295,363.876953125,1.400132417678833
13,20,toronto_demand_time_loss,-1.441062012131585,58,0.07648264616727829,458.45953369140625,1.451674461364746
14,21,toronto_demand_time_loss,-1.3727322301397293,58,-0.09348636120557785,389.5853576660156,1.3957788944244385
15,22,toronto_demand_time_loss,-1.42048389819328,58,0.013165443204343319,475.1041259765625,1.3890691995620728
16,23,toronto_demand_time_loss,-1.4309099926275668,58,-0.14640922844409943,492.894287109375,1.419008493423462
17,24,toronto_demand_time_loss,-1.3095833734226943,58,-0.007411837112158537,428.48541259765625,1.4074516296386719
18,25,toronto_demand_time_loss,-1.3081818065238122,58,-0.1518467664718628,413.1613464355469,1.4164444208145142
19,26,toronto_demand_time_loss,-1.266677748167507,58,-0.05756351351737976,326.1389465332031,1.4014379978179932
20,27,toronto_demand_time_loss,-1.3328642826012846,58,-0.08985541760921478,414.22900390625,1.396453857421875
21,28,toronto_demand_time_loss,-1.3197334099872065,58,-0.10382269322872162,389.3888854980469,1.4122425317764282
22,29,toronto_demand_time_loss,-1.3078784558598466,58,-0.014231719076633453,379.34619140625,1.415382742881775
23,30,toronto_demand_time_loss,-1.3779608582088616,58,-0.10536286234855652,353.63690185546875,1.378636121749878
24,31,toronto_demand_time_loss,-1.2175084282198796,58,0.01559329591691494,356.6756286621094,1.3983110189437866
25,32,toronto_demand_time_loss,-1.2159933936378875,58,0.004011327400803566,300.00457763671875,1.4039270877838135
26,33,toronto_demand_time_loss,-1.1563666043156067,58,0.01563733071088791,308.6639709472656,1.3792600631713867
27,34,toronto_demand_time_loss,-1.3197597033369446,58,-0.06916970014572144,300.3084716796875,1.3660972118377686
28,35,toronto_demand_time_loss,-1.2652258441255382,58,-0.07870272547006607,347.203857421875,1.3230043649673462
29,36,toronto_demand_time_loss,-1.11728893907369,58,-0.055546198040246964,247.80601501464844,1.387868881225586
