episode,seed,scenario_id,mean_global_reward,steps,actor_loss,critic_loss,entropy
0,17,toronto_demand,-1.594335711175282,24,-0.010913824662566185,279.6775207519531,0.6894160509109497
1,18,toronto_demand,-1.596649601432948,24,-0.007446472067385912,272.97174072265625,0.6912418603897095
2,19,toronto_demand,-1.5988699537770408,24,-0.006989680230617523,259.73883056640625,0.6915808320045471
3,20,toronto_demand,-1.5978099252599183,24,-0.008375510573387146,243.8483123779297,0.690899133682251
4,21,toronto_demand,-1.5865551353569158,24,-0.007115625310689211,218.42825317382812,0.6897688508033752
