episode,seed,scenario_id,mean_global_reward,steps,actor_loss,critic_loss,entropy,gate_fraction
0,7,reward_tuning_v2,1.5664306371304921,180,0.16541238129138947,509.53955078125,0.10367584973573685,0.01574074074074074
1,8,reward_tuning_v2,1.5546645487315256,180,0.017872344702482224,284.31549072265625,0.18305203318595886,0.024537037037037038
2,9,reward_tuning_v2,1.5963665080287557,180,-0.10663780570030212,270.8006896972656,0.20226949453353882,0.02962962962962963
3,10,reward_tuning_v2,1.621734832991723,180,-0.0490984283387661,251.1612091064453,0.2619727849960327,0.037037037037037035
4,11,reward_tuning_v2,1.6233057149333203,180,-0.04099196568131447,219.88473510742188,0.16526682674884796,0.03935185185185185
5,12,reward_tuning_v2,1.6183808161484097,180,-0.047689639031887054,226.1724853515625,0.2222815304994583,0.03935185185185185
6,13,reward_tuning_v2,1.5671000742339936,180,0.09125467389822006,202.56422424316406,0.25581368803977966,0.0625
7,14,reward_tuning_v2,1.546993195165161,180,-0.02580304443836212,208.82359313964844,0.2512555718421936,0.060648148148148145
8,15,reward_tuning_v2,1.6531896911324315,180,0.0850289911031723,256.8908386230469,0.26828688383102417,0.0587962962962963
9,16,reward_tuning_v2,1.682211997958807,180,0.011162905022501945,238.99468994140625,0.34172284603118896,0.058333333333333334
10,17,reward_tuning_v2,1.6166928247382972,180,0.14671820402145386,172.00506591796875,0.3805413842201233,0.06851851851851852
11,18,reward_tuning_v2,1.451625640932164,180,-0.16607074439525604,299.06597900390625,0.3102109432220459,0.08472222222222223
12,19,reward_tuning_v2,1.585733508650186,180,-0.03839389234781265,245.72457885742188,0.256452739238739,0.06759259259259259
13,20,reward_tuning_v2,1.543670575551662,180,-0.08239074796438217,241.85406494140625,0.23198580741882324,0.05092592592592592
14,21,reward_tuning_v2,1.6263270861324546,180,0.10376200079917908,221.81134033203125,0.2719099819660187,0.05462962962962963
15,22,reward_tuning_v2,1.576818652333459,180,0.02064153365790844,252.12550354003906,0.3374839425086975,0.06666666666666667
16,23,reward_tuning_v2,1.6195156097296304,180,-0.01949111744761467,233.3031005859375,0.29146990180015564,0.06898148148148148
17,24,reward_tuning_v2,1.4455634499030736,180,0.1621151715517044,281.181884765625,0.3117671608924866,0.09398148148148149
18,25,reward_tuning_v2,1.6464657464516588,180,-0.057488590478897095,269.30523681640625,0.42830753326416016,0.09212962962962963
19,26,reward_tuning_v2,1.6252959852626667,180,-0.03628729656338692,194.89346313476562,0.38031595945358276,0.09490740740740741
20,27,reward_tuning_v2,1.6510263528994098,180,-0.08942324668169022,235.0652313232422,0.3187370300292969,0.09861111111111111
21,28,reward_tuning_v2,1.6736726121352408,180,-0.09003403037786484,179.4337615966797,0.44024723768234253,0.09259259259259259
22,29,reward_tuning_v2,1.4039838705023548,180,-0.07682665437459946,331.82464599609375,0.4818122386932373,0.1175925925925926
23,30,reward_tuning_v2,1.5739942600016996,180,0.03522312268614769,209.32135009765625,0.5109637379646301,0.13796296296296295
24,31,reward_tuning_v2,1.688244320928732,180,0.0924682468175888,216.5920867919922,0.49483156204223633,0.13333333333333333
