episode,seed,scenario_id,mean_global_reward,steps,actor_loss,critic_loss,entropy
0,7,toronto_demand,-0.4442364843098592,58,0.005405597388744354,220.58914184570312,1.4634767770767212
1,8,toronto_demand,-0.3373838497309595,58,-0.01099390909075737,106.78700256347656,1.4438755512237549
2,9,toronto_demand,-0.2175698029840868,58,-0.08089956641197205,53.794742584228516,1.423997163772583
3,10,toronto_demand,-0.2090924165964893,58,0.052681855857372284,90.3445053100586,1.4426233768463135
4,11,toronto_demand,-0.30355348766356355,58,-0.10130970180034637,78.63594818115234,1.4217897653579712
5,12,toronto_demand,-0.0710354712660544,58,-0.05862577259540558,52.21413803100586,1.4015880823135376
6,13,toronto_demand,-0.23457629364181576,58,-0.06006795912981033,76.98932647705078,1.4362552165985107
7,14,toronto_demand,-0.31029587239963285,58,-0.12972292304039001,66.95406341552734,1.3874156475067139
8,15,toronto_demand,-0.26487559633264396,58,-0.09593276679515839,66.54820251464844,1.3881778717041016
9,16,toronto_demand,-0.12164969460537561,58,-0.050761573016643524,55.84046173095703,1.4256007671356201
10,17,toronto_demand,-0.15489415892905328,58,-0.0914943516254425,69.2239761352539,1.3930859565734863
11,18,toronto_demand,-0.08776341976961839,58,0.05436655506491661,107.73361206054688,1.4381077289581299
12,19,toronto_demand,-0.27089439448552716,58,-0.03595342859625816,82.0680923461914,1.3920938968658447
13,20,toronto_demand,-0.18822170104239141,58,-0.037873685359954834,68.26329803466797,1.4015028476715088
14,21,toronto_demand,0.017528146119357945,58,0.04949349910020828,48.41455078125,1.3916596174240112
15,22,toronto_demand,-0.08869543290104384,58,0.07560846209526062,56.75938415527344,1.456264853477478
16,23,toronto_demand,-0.07310059283266426,58,-0.07742755115032196,77.26472473144531,1.3884813785552979
17,24,toronto_demand,-0.08937776924239481,58,-0.022966857999563217,55.74363708496094,1.389351725578308
18,25,toronto_demand,-0.1618637589863791,58,0.05128642916679382,88.26602172851562,1.41952645778656
19,26,toronto_demand,-0.011395446466065903,58,-0.015446619130671024,36.9798469543457,1.39418625831604
20,27,toronto_demand,0.03105069419027472,58,-0.007451587822288275,39.9249267578125,1.3575400114059448
21,28,toronto_demand,-0.025951583015212828,58,0.005660636350512505,72.99665069580078,1.390276551246643
22,29,toronto_demand,-0.04157267716919696,58,-0.09145119041204453,59.11368179321289,1.3726509809494019
23,30,toronto_demand,0.024585660473903558,58,-0.06255807727575302,51.9132194519043,1.3564344644546509
24,31,toronto_demand,0.043942318420484155,58,-0.14369171857833862,43.274375915527344,1.3610988855361938
25,32,toronto_demand,-0.06712597413941294,58,-0.0739365741610527,106.47056579589844,1.4051762819290161
26,33,toronto_demand,0.02784720065171862,58,-0.042325373739004135,64.34259796142578,1.3397979736328125
27,34,toronto_demand,0.012422711045228055,58,-0.05155503749847412,46.75885772705078,1.345991611480713
28,35,toronto_demand,0.03768935092301893,58,-0.06525552272796631,45.21567153930664,1.2626549005508423
29,36,toronto_demand,0.08676227582825109,58,0.002920134924352169,36.02171325683594,1.2923085689544678
