episode,seed,scenario_id,mean_global_reward,steps,actor_loss,critic_loss,entropy
0,17,toronto_demand,-1.594335711175282,24,-0.00988976564258337,280.6726989746094,0.6929112672805786
1,18,toronto_demand,-1.596649601432948,24,-0.007589142303913832,274.25091552734375,0.6923245787620544
2,19,toronto_demand,-1.5988699537770408,24,-0.007497627753764391,261.3390808105469,0.6921194791793823
3,20,toronto_demand,-1.5978099252599183,24,-0.007907507009804249,244.96163940429688,0.6917190551757812
4,21,toronto_demand,-1.5865551353569158,24,-0.008112413808703423,219.78524780273438,0.6907756328582764
5,22,toronto_demand,-1.59028426076865,24,-0.007835126481950283,195.97987365722656,0.6896211504936218
6,23,toronto_demand,-1.5943654661057993,24,-0.0075707403011620045,167.11370849609375,0.6886783838272095
7,24,toronto_demand,-1.6032191001870963,24,-0.0068409983068704605,144.6182403564453,0.6879153847694397
8,25,toronto_demand,-1.5906389650201866,24,-0.007521570660173893,130.2718505859375,0.6872768402099609
9,26,toronto_demand,-1.5912860700203841,24,-0.007794251665472984,135.42657470703125,0.686381995677948
