episode,seed,scenario_id,mean_global_reward,steps,actor_loss,critic_loss,entropy
0,17,toronto_demand,-0.2517361111111111,24,-0.007917136885225773,5.725214958190918,0.6926522850990295
1,18,toronto_demand,-0.25180555555555556,24,-0.009323871694505215,4.582212924957275,0.6930053234100342
2,19,toronto_demand,-0.25281250000000005,24,-0.007638769224286079,3.1932363510131836,0.693004310131073
3,20,toronto_demand,-0.25225694444444446,24,-0.008029788732528687,2.470545768737793,0.692611575126648
4,21,toronto_demand,-0.2521527777777777,24,-0.008129916153848171,3.8002920150756836,0.6919455528259277
