scenario,seed,sim_time_s,n_agents,n_override,gate_fraction
demand_surge,1000,625.0,12,2,0.16666666666666666
demand_surge,1000,630.0,12,4,0.3333333333333333
demand_surge,1000,635.0,12,3,0.25
demand_surge,1000,640.0,12,3,0.25
demand_surge,1000,645.0,12,6,0.5
demand_surge,1000,650.0,12,6,0.5
demand_surge,1000,655.0,12,4,0.3333333333333333
demand_surge,1000,660.0,12,2,0.16666666666666666
demand_surge,1000,665.0,12,4,0.3333333333333333
demand_surge,1000,670.0,12,4,0.3333333333333333
demand_surge,1000,675.0,12,5,0.4166666666666667
demand_surge,1000,680.0,12,3,0.25
demand_surge,1000,685.0,12,4,0.3333333333333333
demand_surge,1000,690.0,12,4,0.3333333333333333
demand_surge,1000,695.0,12,4,0.3333333333333333
demand_surge,1000,700.0,12,4,0.3333333333333333
demand_surge,1000,705.0,12,2,0.16666666666666666
demand_surge,1000,710.0,12,5,0.4166666666666667
demand_surge,1000,715.0,12,4,0.3333333333333333
demand_surge,1000,720.0,12,5,0.4166666666666667
demand_surge,1000,725.0,12,2,0.16666666666666666
demand_surge,1000,730.0,12,3,0.25
demand_surge,1000,735.0,12,3,0.25
demand_surge,1000,740.0,12,3,0.25
demand_surge,1000,745.0,12,5,0.4166666666666667
demand_surge,1000,750.0,12,3,0.25
demand_surge,1000,755.0,12,6,0.5
demand_surge,1000,760.0,12,3,0.25
demand_surge,1000,765.0,12,4,0.3333333333333333
demand_surge,1000,770.0,12,2,0.16666666666666666
demand_surge,1000,775.0,12,5,0.4166666666666667
demand_surge,1000,780.0,12,2,0.16666666666666666
demand_surge,1000,785.0,12,4,0.3333333333333333
demand_surge,1000,790.0,12,4,0.3333333333333333
demand_surge,1000,795.0,12,3,0.25
demand_surge,1000,800.0,12,3,0.25
demand_surge,1000,805.0,12,3,0.25
demand_surge,1000,810.0,12,4,0.3333333333333333
demand_surge,1000,815.0,12,5,0.4166666666666667
demand_surge,1000,820.0,12,3,0.25
demand_surge,1000,825.0,12,3,0.25
demand_surge,1000,830.0,12,5,0.4166666666666667
demand_surge,1000,835.0,12,6,0.5
demand_surge,1000,840.0,12,3,0.25
demand_surge,1000,845.0,12,4,0.3333333333333333
demand_surge,1000,850.0,12,6,0.5
demand_surge,1000,855.0,12,5,0.4166666666666667
demand_surge,1000,860.0,12,4,0.3333333333333333
demand_surge,1000,865.0,12,1,0.08333333333333333
demand_surge,1000,870.0,12,3,0.25
demand_surge,1000,875.0,12,2,0.16666666666666666
demand_surge,1000,880.0,12,4,0.3333333333333333
demand_surge,1000,885.0,12,3,0.25
demand_surge,1000,890.0,12,1,0.08333333333333333
demand_surge,1000,895.0,12,5,0.4166666666666667
demand_surge,1000,900.0,12,5,0.4166666666666667
demand_surge,1000,905.0,12,3,0.25
demand_surge,1000,910.0,12,6,0.5
demand_surge,1000,915.0,12,6,0.5
demand_surge,1000,920.0,12,4,0.3333333333333333
demand_surge,1000,925.0,12,4,0.3333333333333333
demand_surge,1000,930.0,12,2,0.16666666666666666
demand_surge,1000,935.0,12,6,0.5
demand_surge,1000,940.0,12,5,0.4166666666666667
demand_surge,1000,945.0,12,5,0.4166666666666667
demand_surge,1000,950.0,12,4,0.3333333333333333
demand_surge,1000,955.0,12,2,0.16666666666666666
demand_surge,1000,960.0,12,4,0.3333333333333333
demand_surge,1000,965.0,12,4,0.3333333333333333
demand_surge,1000,970.0,12,5,0.4166666666666667
demand_surge,1000,975.0,12,3,0.25
demand_surge,1000,980.0,12,5,0.4166666666666667
demand_surge,1000,985.0,12,6,0.5
demand_surge,1000,990.0,12,5,0.4166666666666667
demand_surge,1000,995.0,12,5,0.4166666666666667
demand_surge,1000,1000.0,12,5,0.4166666666666667
demand_surge,1000,1005.0,12,4,0.3333333333333333
demand_surge,1000,1010.0,12,2,0.16666666666666666
demand_surge,1000,1015.0,12,4,0.3333333333333333
demand_surge,1000,1020.0,12,4,0.3333333333333333
demand_surge,1000,1025.0,12,6,0.5
demand_surge,1000,1030.0,12,3,0.25
demand_surge,1000,1035.0,12,6,0.5
demand_surge,1000,1040.0,12,3,0.25
demand_surge,1000,1045.0,12,3,0.25
demand_surge,1000,1050.0,12,2,0.16666666666666666
demand_surge,1000,1055.0,12,5,0.4166666666666667
demand_surge,1000,1060.0,12,5,0.4166666666666667
demand_surge,1000,1065.0,12,5,0.4166666666666667
demand_surge,1000,1070.0,12,5,0.4166666666666667
demand_surge,1000,1075.0,12,3,0.25
demand_surge,1000,1080.0,12,4,0.3333333333333333
demand_surge,1000,1085.0,12,5,0.4166666666666667
demand_surge,1000,1090.0,12,5,0.4166666666666667
demand_surge,1000,1095.0,12,2,0.16666666666666666
demand_surge,1000,1100.0,12,6,0.5
demand_surge,1000,1105.0,12,4,0.3333333333333333
demand_surge,1000,1110.0,12,4,0.3333333333333333
demand_surge,1000,1115.0,12,3,0.25
demand_surge,1000,1120.0,12,2,0.16666666666666666
demand_surge,1000,1125.0,12,3,0.25
demand_surge,1000,1130.0,12,3,0.25
demand_surge,1000,1135.0,12,3,0.25
demand_surge,1000,1140.0,12,2,0.16666666666666666
demand_surge,1000,1145.0,12,7,0.5833333333333334
demand_surge,1000,1150.0,12,3,0.25
demand_surge,1000,1155.0,12,6,0.5
demand_surge,1000,1160.0,12,4,0.3333333333333333
demand_surge,1000,1165.0,12,4,0.3333333333333333
demand_surge,1000,1170.0,12,2,0.16666666666666666
demand_surge,1000,1175.0,12,4,0.3333333333333333
demand_surge,1000,1180.0,12,5,0.4166666666666667
demand_surge,1000,1185.0,12,3,0.25
demand_surge,1000,1190.0,12,4,0.3333333333333333
demand_surge,1000,1195.0,12,5,0.4166666666666667
demand_surge,1000,1200.0,12,2,0.16666666666666666
