episode,seed,scenario_id,mean_global_reward,steps,actor_loss,critic_loss,entropy,gate_fraction
0,7,phase4_am_peak,-1.0756765340106809,180,0.09588506072759628,910.2235107421875,0.12492123246192932,0.013888888888888888
1,8,phase4_am_peak,-0.9121365447484477,180,0.004399023950099945,535.2428588867188,0.1434163749217987,0.02638888888888889
2,9,phase4_am_peak,-0.8846410637543798,180,0.06172248721122742,598.3685302734375,0.16644448041915894,0.022685185185185187
3,10,phase4_am_peak,-0.7943264496946852,180,0.04922299459576607,409.2513427734375,0.13998983800411224,0.02546296296296296
4,11,phase4_am_peak,-0.9173001356566034,180,-0.0012937316205352545,520.853271484375,0.18397867679595947,0.03009259259259259
5,12,phase4_am_peak,-0.938131408506942,180,-0.18948645889759064,453.4349365234375,0.22523941099643707,0.03333333333333333
6,13,phase4_am_peak,-0.7343843833787307,180,-0.043664366006851196,366.52874755859375,0.21764230728149414,0.046296296296296294
7,14,phase4_am_peak,-1.0139124368362558,180,-0.13880808651447296,627.8776245117188,0.2538600265979767,0.04861111111111111
8,15,phase4_am_peak,-0.9033944060520084,180,0.026251358911395073,504.42669677734375,0.2948399484157562,0.06574074074074074
9,16,phase4_am_peak,-0.8892226044686589,180,0.004242276307195425,601.81640625,0.32593274116516113,0.07037037037037037
10,17,phase4_am_peak,-0.7503581926305524,180,-0.11768578737974167,336.9092712402344,0.31176137924194336,0.0837962962962963
11,18,phase4_am_peak,-0.8127456951050887,180,0.036829158663749695,543.177001953125,0.3974462151527405,0.08101851851851852
12,19,phase4_am_peak,-0.7317308806888971,180,-0.13882821798324585,414.0537414550781,0.3577975034713745,0.07592592592592592
13,20,phase4_am_peak,-0.7553982803462911,180,0.05179407447576523,549.91015625,0.412647545337677,0.0912037037037037
14,21,phase4_am_peak,-0.7688652882130651,180,0.17562468349933624,487.53985595703125,0.4580959975719452,0.11574074074074074
15,22,phase4_am_peak,-0.7101816995547299,180,-0.2749948501586914,266.80694580078125,0.36636996269226074,0.10185185185185185
16,23,phase4_am_peak,-0.7476271077207131,180,0.024414677172899246,396.5433349609375,0.41687220335006714,0.13194444444444445
17,24,phase4_am_peak,-0.7092754861736446,180,0.04442591592669487,518.8157348632812,0.3928733766078949,0.1375
18,25,phase4_am_peak,-0.6576725103680137,180,-0.13083718717098236,322.02490234375,0.4249350428581238,0.1425925925925926
19,26,phase4_am_peak,-0.6383687442875593,180,0.02220052480697632,437.6524963378906,0.48447203636169434,0.1361111111111111
20,27,phase4_am_peak,-0.6353552239930862,180,-0.050656162202358246,308.0870666503906,0.4293307662010193,0.16111111111111112
21,28,phase4_am_peak,-0.8514091570000998,180,-0.05038405954837799,526.588623046875,0.47312846779823303,0.15787037037037038
22,29,phase4_am_peak,-0.5664886467611262,180,-0.06625533103942871,330.25335693359375,0.4890412390232086,0.14351851851851852
23,30,phase4_am_peak,-0.5933446940956829,180,-0.014459643512964249,276.433837890625,0.4978344440460205,0.1425925925925926
24,31,phase4_am_peak,-0.5487002170797022,180,-0.04365991801023483,261.222900390625,0.4865536391735077,0.15833333333333333
25,32,phase4_am_peak,-0.9619932176187567,180,-0.029457254335284233,736.6229858398438,0.6770515441894531,0.18981481481481483
26,33,phase4_am_peak,-0.6138921181126659,180,-0.004818649962544441,334.2977294921875,0.6263624429702759,0.17083333333333334
27,34,phase4_am_peak,-0.7575260975354856,180,0.12136482447385788,477.7313537597656,0.5938106179237366,0.1763888888888889
28,35,phase4_am_peak,-0.6094154926662158,180,-0.025546150282025337,284.8215026855469,0.4950416088104248,0.1763888888888889
29,36,phase4_am_peak,-0.5296821525397313,180,0.12413837015628815,241.34054565429688,0.697569727897644,0.18981481481481483
30,37,phase4_am_peak,-0.6292488354762221,180,-0.11768896877765656,240.3377685546875,0.6247569918632507,0.22962962962962963
31,38,phase4_am_peak,-0.6410373799271508,180,0.012904772534966469,415.1353454589844,0.7810568809509277,0.24768518518518517
32,39,phase4_am_peak,-0.7931953994675974,180,-0.047831494361162186,565.423583984375,0.6808671951293945,0.24814814814814815
33,40,phase4_am_peak,-0.6299840447287652,180,-0.03758079186081886,342.6979675292969,0.7246702313423157,0.24768518518518517
34,41,phase4_am_peak,-0.5737064270415231,180,-0.047497719526290894,275.11328125,0.7895739078521729,0.23472222222222222
35,42,phase4_am_peak,-0.7544017129889945,180,0.0412345826625824,286.60723876953125,0.7900184988975525,0.2175925925925926
36,43,phase4_am_peak,-0.6680237760736377,180,-0.08162013441324234,339.0194091796875,0.6782613396644592,0.262037037037037
37,44,phase4_am_peak,-0.8374084177023546,180,-0.11671800166368484,604.6321411132812,0.7058150768280029,0.262037037037037
38,45,phase4_am_peak,-0.6147200068943729,180,0.021882405504584312,319.3755798339844,0.6828690767288208,0.24074074074074073
39,46,phase4_am_peak,-0.5936530849229081,180,-0.032822489738464355,306.67169189453125,0.582377552986145,0.23472222222222222
40,47,phase4_am_peak,-0.6119506035117707,180,-0.2001541256904602,344.8946838378906,0.7017624378204346,0.2550925925925926
41,48,phase4_am_peak,-0.6242896431068918,180,-0.07263930886983871,274.2457580566406,0.767652153968811,0.2300925925925926
42,49,phase4_am_peak,-0.6009481792720621,180,-0.1866016834974289,303.69415283203125,0.6222110390663147,0.23148148148148148
43,50,phase4_am_peak,-0.8243018824459905,180,-0.1961279809474945,464.1170654296875,0.6411623358726501,0.22916666666666666
44,51,phase4_am_peak,-0.7030182303914069,180,-0.15945613384246826,300.90313720703125,0.6769918203353882,0.21203703703703702
