episode,mean_global_reward,steps,gate_fraction,scenario_id
157,-0.9002,180,0.281,pm_peak
158,-0.8383,180,0.245,
159,-0.9602,180,0.271,
160,-0.7841,180,0.256,am_peak
161,-0.8539,180,0.269,pm_peak
162,-0.9852,180,0.255,demand_surge
163,-0.958,180,0.317,midday_multimodal
164,-0.6568,180,0.248,am_peak
165,-0.9667,180,0.287,pm_peak
166,-0.8217,180,0.276,
167,-1.0203,180,0.276,
168,-0.6399,180,0.263,am_peak
169,-0.8706,180,0.278,pm_peak
170,-0.7726,180,0.269,demand_surge
171,-0.8046,180,0.283,midday_multimodal
172,-0.6707,180,0.254,am_peak
173,-0.8514,180,0.277,pm_peak
174,-0.8351,180,0.258,
175,-0.8648,180,0.288,
176,-0.6985,180,0.259,am_peak
177,-1.1242,180,0.295,pm_peak
178,-0.8888,180,0.276,demand_surge
179,-0.9158,180,0.319,midday_multimodal
180,-0.6932,180,0.267,am_peak
181,-0.902,180,0.275,pm_peak
182,-0.8688,180,0.263,
183,-0.8746,180,0.318,
184,-0.7443,180,0.255,am_peak
185,-0.9584,180,0.281,pm_peak
186,-0.8982,180,0.282,demand_surge
187,-1.0368,180,0.317,midday_multimodal
188,-0.6694,180,0.249,am_peak
189,-1.0783,180,0.264,pm_peak
190,-0.822,180,0.261,
191,-0.8664,180,0.298,
192,-0.6878,180,0.258,am_peak
193,-0.8972,180,0.307,pm_peak
194,-0.9697,180,0.273,demand_surge
195,-0.88,180,0.307,midday_multimodal
196,-0.718,180,0.27,am_peak
197,-0.9647,180,0.297,pm_peak
198,-0.8055,180,0.27,
199,-0.8746,180,0.3,
200,-0.6676,180,0.242,am_peak
201,-0.9451,180,0.275,pm_peak
202,-0.8904,180,0.267,demand_surge
203,-1.0024,180,0.299,midday_multimodal
204,-0.6368,180,0.243,am_peak
205,-1.1603,180,0.271,pm_peak
206,-0.9108,180,0.263,
207,-0.9063,180,0.306,
208,-0.6605,180,0.25,am_peak
209,-0.8665,180,0.269,pm_peak
210,-0.7832,180,0.261,demand_surge
211,-1.0325,180,0.296,midday_multimodal
212,-0.6495,180,0.245,am_peak
213,-0.8775,180,0.265,pm_peak
214,-0.8128,180,0.27,
215,-0.8731,180,0.281,
216,-0.6721,180,0.269,am_peak
217,-1.0162,180,0.303,pm_peak
218,-0.7766,180,0.29,demand_surge
219,-0.7844,180,0.311,midday_multimodal
220,-0.6383,180,0.274,am_peak
221,-0.9242,180,0.3,pm_peak
222,-0.8704,180,0.293,
223,-0.7716,180,0.308,
225,-0.895,180,0.271,pm_peak
225,-0.895,180,0.271,pm_peak
226,-0.7982,180,0.276,demand_surge
226,-0.7982,180,0.276,demand_surge
227,-0.8089,180,0.297,midday_multimodal
227,-0.8089,180,0.297,midday_multimodal
228,-0.7223,180,0.279,am_peak
228,-0.7223,180,0.279,am_peak
229,-0.936,180,0.31,pm_peak
229,-0.936,180,0.31,pm_peak
230,-1.0812,180,0.277,
231,-0.946,180,0.312,
232,-0.6631,180,0.272,
233,-0.9678,180,0.28,pm_peak
234,-0.7714,180,0.294,demand_surge
235,-0.875,180,0.31,midday_multimodal
236,-0.6499,180,0.27,am_peak
237,-1.1913,180,0.299,pm_peak
238,-0.8095,180,0.293,
239,-1.0219,180,0.303,
240,-0.6185,180,0.273,
241,-0.9102,180,0.275,pm_peak
241,-0.9102,180,0.275,pm_peak
242,-0.8042,180,0.281,demand_surge
242,-0.8042,180,0.281,demand_surge
243,-0.8718,180,0.3,midday_multimodal
243,-0.8718,180,0.3,midday_multimodal
244,-0.6313,180,0.256,am_peak
244,-0.6313,180,0.256,am_peak
245,-0.9883,180,0.304,pm_peak
245,-0.9883,180,0.304,pm_peak
246,-0.8273,180,0.276,
247,-0.8454,180,0.312,
248,-0.627,180,0.276,
249,-0.9736,180,0.276,pm_peak
250,-0.7448,180,0.263,demand_surge
251,-1.0338,180,0.302,midday_multimodal
252,-0.6869,180,0.256,am_peak
253,-1.0414,180,0.298,pm_peak
254,-0.744,180,0.279,
255,-1.3919,180,0.318,
256,-0.7195,180,0.278,
257,-0.9381,180,0.311,pm_peak
258,-0.8668,180,0.287,demand_surge
259,-0.9957,180,0.306,midday_multimodal
260,-0.9049,180,0.303,am_peak
261,-0.8223,180,0.315,pm_peak
262,-0.8324,180,0.293,
263,-0.9782,180,0.324,
264,-0.6474,180,0.264,
265,-1.0345,180,0.282,pm_peak
266,-0.7691,180,0.289,demand_surge
267,-0.9165,180,0.326,midday_multimodal
268,-0.7157,180,0.265,am_peak
269,-0.8707,180,0.316,pm_peak
270,-0.9559,180,0.274,
271,-0.9527,180,0.315,
272,-0.7638,180,0.284,
273,-0.9499,180,0.326,pm_peak
274,-0.9799,180,0.297,demand_surge
275,-0.9615,180,0.305,midday_multimodal
276,-0.6374,180,0.283,am_peak
277,-0.9413,180,0.318,pm_peak
278,-0.8867,180,0.306,
279,-0.9098,180,0.331,
280,-0.7015,180,0.296,
281,-0.786,180,0.284,pm_peak
282,-0.7852,180,0.276,demand_surge
283,-0.9023,180,0.309,midday_multimodal
284,-0.6366,180,0.27,am_peak
285,-0.9137,180,0.293,pm_peak
286,-0.7471,180,0.285,
287,-0.8328,180,0.302,
288,-0.7434,180,0.285,
289,-0.9192,180,0.291,pm_peak
290,-0.9075,180,0.284,demand_surge
291,-1.0442,180,0.336,midday_multimodal
292,-0.9807,180,0.294,am_peak
293,-0.9301,180,0.312,pm_peak
294,-0.9507,180,0.315,
295,-1.0223,180,0.335,
296,-0.6369,180,0.275,
297,-0.9697,180,0.316,pm_peak
298,-0.7746,180,0.281,demand_surge
299,-0.8983,180,0.329,midday_multimodal
300,-0.624,180,0.287,am_peak
301,-0.9375,180,0.303,pm_peak
302,-0.7549,180,0.285,
303,-0.8665,180,0.311,
304,-0.887,180,0.294,
305,-1.0894,180,0.3,pm_peak
306,-0.7495,180,0.309,demand_surge
307,-0.7405,180,0.323,midday_multimodal
308,-0.7488,180,0.279,am_peak
309,-0.9743,180,0.3,pm_peak
310,-0.8242,180,0.318,
311,-0.8703,180,0.331,
312,-0.6179,180,0.278,
313,-0.8665,180,0.325,pm_peak
314,-0.8329,180,0.309,demand_surge
315,-0.8567,180,0.351,midday_multimodal
316,-0.7211,180,0.29,am_peak
317,-1.0317,180,0.329,pm_peak
318,-0.9708,180,0.304,
319,-0.8156,180,0.358,
320,-0.717,180,0.303,
321,-0.8668,180,0.322,pm_peak
322,-0.7705,180,0.286,demand_surge
323,-0.8482,180,0.331,midday_multimodal
324,-0.6732,180,0.278,am_peak
325,-0.9188,180,0.313,pm_peak
326,-0.8141,180,0.296,
327,-0.8726,180,0.326,
328,-0.6523,180,0.29,
329,-1.0545,180,0.341,pm_peak
330,-0.9404,180,0.313,demand_surge
331,-0.877,180,0.338,midday_multimodal
332,-0.6717,180,0.287,am_peak
333,-0.9197,180,0.338,pm_peak
334,-0.7324,180,0.302,
335,-1.0558,180,0.338,
336,-0.7137,180,0.306,
337,-0.9584,180,0.322,pm_peak
338,-0.7706,180,0.306,demand_surge
339,-0.8364,180,0.335,midday_multimodal
340,-0.6708,180,0.307,am_peak
341,-1.0021,180,0.338,pm_peak
342,-0.7796,180,0.312,
343,-0.8275,180,0.346,
344,-0.6544,180,0.306,
345,-0.8111,180,0.331,pm_peak
346,-1.1152,180,0.333,demand_surge
347,-0.9264,180,0.345,midday_multimodal
348,-0.6066,180,0.301,am_peak
349,-1.0239,180,0.338,pm_peak
350,-0.8272,180,0.315,
351,-0.8322,180,0.357,
352,-0.6831,180,0.308,
353,-1.061,180,0.322,pm_peak
354,-0.7444,180,0.326,demand_surge
355,-0.8912,180,0.343,midday_multimodal
356,-0.6842,180,0.307,am_peak
357,-0.9304,180,0.317,pm_peak
358,-0.8287,180,0.334,
359,-0.9287,180,0.354,
